name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
Manie Joses,Davidson,F,24,254,21,35,3,5,4,16,58,13,14,15,5,49,21,2.0,2.4,0.5,0.6,0.6,0.2,0.2,10.6,0.6,0.6,0.25,0.6571
Ty Bevins,George Washington,G,10,78,6,19,3,4,4,15,13,2,2,0,3,19,10,1.9,1.3,0.2,0.2,0.0,0.3,0.4,7.8,0.3158,0.75,0.2667,0.4211
Al Amadou,Saint Joseph's,F,8,65,6,11,3,7,0,2,9,3,0,5,5,15,5,1.9,1.1,0.4,0.0,0.6,0.6,0.0,8.1,0.5455,0.4286,0.0,0.5455
Steven Solano,Saint Joseph's,C,8,36,7,9,1,2,0,0,10,1,0,1,4,15,5,1.9,1.2,0.1,0.0,0.1,0.5,0.0,4.5,0.7778,0.5,,0.7778
Mekai Johnson,Saint Joseph's,G,10,54,8,15,0,0,2,9,5,1,3,0,2,18,6,1.8,0.5,0.1,0.3,0.0,0.2,0.2,5.4,0.5333,,0.2222,0.6
Caleb Reese,Loyola Chicago,G,14,192,8,29,6,13,3,15,19,22,7,0,17,25,20,1.8,1.4,1.6,0.5,0.0,1.2,0.2,13.7,0.2759,0.4615,0.2,0.3276
Cam Hutson,Saint Louis,G,15,87,8,23,8,11,1,12,15,3,1,1,12,25,16,1.7,1.0,0.2,0.1,0.1,0.8,0.1,5.8,0.3478,0.7273,0.0833,0.3696
Joe Hurlburt,Davidson,F,8,71,5,14,1,4,2,6,27,6,1,1,6,13,10,1.6,3.4,0.8,0.1,0.1,0.8,0.2,8.9,0.3571,0.25,0.3333,0.4286
Aidan Crotty,Fordham,G,5,12,3,5,0,0,2,3,1,1,0,0,1,8,2,1.6,0.2,0.2,0.0,0.0,0.2,0.4,2.4,0.6,,0.6667,0.8
Devin Booker,George Mason,G,19,136,10,39,7,14,4,24,12,4,2,3,7,31,9,1.6,0.6,0.2,0.1,0.2,0.4,0.2,7.2,0.2564,0.5,0.1667,0.3077
Amir Arrington,George Washington,G,4,12,2,6,0,0,2,5,0,0,0,0,0,6,0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.3333,,0.4,0.5
Drissa Traore,Rhode Island,F,17,144,9,24,6,16,2,12,26,3,5,6,8,26,22,1.5,1.5,0.2,0.3,0.4,0.5,0.1,8.5,0.375,0.375,0.1667,0.4167
Stef van Bussel,Duquesne,C,15,95,10,11,3,10,0,0,26,7,1,2,14,23,16,1.5,1.7,0.5,0.1,0.1,0.9,0.0,6.3,0.9091,0.3,,0.9091
Jack DeRose,St. Bonaventure,G,2,6,1,2,0,0,1,2,0,0,0,0,2,3,0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,3.0,0.5,,0.5,0.75
Dominick Harris,Loyola Chicago,G,7,45,3,16,1,2,3,14,4,2,0,0,2,10,5,1.4,0.6,0.3,0.0,0.0,0.3,0.4,6.4,0.1875,0.5,0.2143,0.2812
Bryson McGlothin,Richmond,F,3,13,1,5,1,2,1,4,3,0,1,0,0,4,2,1.3,1.0,0.0,0.3,0.0,0.0,0.3,4.3,0.2,0.5,0.25,0.3
Ethan Anish,Duquesne,G,4,10,1,2,3,4,0,1,0,0,0,0,0,5,2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.75,0.0,0.5
Nas Hart,La Salle,F,13,92,4,12,7,8,0,0,21,0,1,0,3,15,7,1.2,1.6,0.0,0.1,0.0,0.2,0.0,7.1,0.3333,0.875,,0.3333
Jordann Dumont,VCU,F,7,20,3,9,2,2,0,6,1,0,1,0,0,8,2,1.1,0.1,0.0,0.1,0.0,0.0,0.0,2.9,0.3333,1.0,0.0,0.3333
Will Lange,Saint Joseph's,G,4,15,1,3,2,2,0,1,2,1,0,0,1,4,1,1.0,0.5,0.2,0.0,0.0,0.2,0.0,3.8,0.3333,1.0,0.0,0.3333
Christian Fermin,VCU,C,3,35,0,1,3,8,0,0,6,2,1,5,0,3,5,1.0,2.0,0.7,0.3,1.7,0.0,0.0,11.7,0.0,0.375,,0.0
Brock Matheny,Davidson,G,3,13,1,4,0,0,1,4,0,0,0,0,1,3,2,1.0,0.0,0.0,0.0,0.0,0.3,0.3,4.3,0.25,,0.25,0.375
Jameson O'Toole,Fordham,G,7,25,2,8,2,2,1,5,6,3,1,0,2,7,1,1.0,0.9,0.4,0.1,0.0,0.3,0.1,3.6,0.25,1.0,0.2,0.3125
Lucas Prolla,Duquesne,G,4,10,1,2,1,2,1,2,2,0,3,0,2,4,1,1.0,0.5,0.0,0.8,0.0,0.5,0.2,2.5,0.5,0.5,0.5,0.75
Isaac Holmes,Saint Louis,G,11,34,4,11,1,2,2,8,9,4,1,1,0,11,3,1.0,0.8,0.4,0.1,0.1,0.0,0.2,3.1,0.3636,0.5,0.25,0.4545
John Nowland,Davidson,F,3,11,0,0,3,6,0,0,1,0,1,0,1,3,3,1.0,0.3,0.0,0.3,0.0,0.3,0.0,3.7,,0.5,,
Jaden Schertz,Saint Louis,G,10,32,3,7,2,4,0,1,6,1,1,0,2,8,1,0.8,0.6,0.1,0.1,0.0,0.2,0.0,3.2,0.4286,0.5,0.0,0.4286
Billy Rayer,Saint Joseph's,G,4,10,1,3,0,0,1,3,1,1,0,0,1,3,1,0.8,0.2,0.2,0.0,0.0,0.2,0.2,2.5,0.3333,,0.3333,0.5
Bowyn Beatty,La Salle,F,10,110,4,17,0,4,0,3,25,2,4,1,8,8,5,0.8,2.5,0.2,0.4,0.1,0.8,0.0,11.0,0.2353,0.0,0.0,0.2353
Makai Grant,Dayton,G,4,6,1,4,0,0,1,3,0,0,1,0,0,3,2,0.8,0.0,0.0,0.2,0.0,0.0,0.2,1.5,0.25,,0.3333,0.375
Kirby Mooney,Richmond,G,3,13,1,3,0,0,0,1,2,1,1,0,3,2,2,0.7,0.7,0.3,0.3,0.0,1.0,0.0,4.3,0.3333,,0.0,0.3333
Zachary Royster,Loyola Chicago,F,7,19,2,5,0,0,1,4,2,0,0,0,1,5,0,0.7,0.3,0.0,0.0,0.0,0.1,0.1,2.7,0.4,,0.25,0.5
Phillip Kavu,Davidson,G,3,13,1,5,0,0,0,1,1,1,0,0,0,2,1,0.7,0.3,0.3,0.0,0.0,0.0,0.0,4.3,0.2,,0.0,0.2
Barrett Loer,Rhode Island,G,3,11,0,2,2,2,0,1,2,1,0,0,2,2,3,0.7,0.7,0.3,0.0,0.0,0.7,0.0,3.7,0.0,1.0,0.0,0.0
Kevin Kearney,Saint Joseph's,F,12,53,3,14,1,2,0,6,14,2,1,3,4,7,5,0.6,1.2,0.2,0.1,0.2,0.3,0.0,4.4,0.2143,0.5,0.0,0.2143
Evan Dickey,Dayton,G,4,9,0,1,2,2,0,1,1,0,0,0,0,2,1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.0,0.0,0.0
Brayden Young,Loyola Chicago,F,11,52,2,3,0,3,0,0,11,1,1,1,4,4,14,0.4,1.0,0.1,0.1,0.1,0.4,0.0,4.7,0.6667,0.0,,0.6667
Xander Wedlow,St. Bonaventure,C,2,6,0,1,0,0,0,0,2,0,0,0,2,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,,0.0
Broek Ostrom,St. Bonaventure,G,2,7,0,2,0,2,0,1,1,0,0,0,2,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0
Will Maxwell,Dayton,G,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,,0.0,0.0
Samuel Yurasek,Loyola Chicago,G,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
Max Lipacis,La Salle,F,2,9,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,,0.0,,
Max Miller,Fordham,G,5,14,0,5,0,0,0,5,1,1,2,0,2,0,0,0.0,0.2,0.2,0.4,0.0,0.4,0.0,2.8,0.0,,0.0,0.0
Seamus McDermott,Duquesne,G,3,9,0,5,0,0,0,5,1,1,0,0,0,0,1,0.0,0.3,0.3,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0
Arlan Masharaliyev,La Salle,G,4,8,0,3,0,0,0,3,2,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0
T.J. Prosise,George Mason,G,4,7,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.8,0.0,,,0.0
Ben Woodward,George Mason,G,4,7,0,3,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,,0.0,0.0
Mohamed Binzagr,George Washington,G,4,9,0,4,0,2,0,4,2,0,1,0,1,0,1,0.0,0.5,0.0,0.2,0.0,0.2,0.0,2.2,0.0,0.0,0.0,0.0
