name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
John Hugley IV,Duquesne,F,19,363,64,125,58,79,9,29,83,31,4,3,35,195,43,10.3,4.4,1.6,0.2,0.2,1.8,0.5,19.1,0.512,0.7342,0.3103,0.548
Quentin Jones,Saint Louis,G,25,651,87,176,54,67,26,66,103,77,23,23,49,254,64,10.2,4.1,3.1,0.9,0.9,2.0,1.0,26.0,0.4943,0.806,0.3939,0.5682
Parker Friedrichsen,Davidson,G,24,583,81,186,39,52,45,107,59,36,34,1,28,246,40,10.2,2.5,1.5,1.4,0.0,1.2,1.9,24.3,0.4355,0.75,0.4206,0.5565
Jack Whitbourn,Fordham,,4,101,17,28,5,6,1,2,34,4,1,0,6,40,5,10.0,8.5,1.0,0.2,0.0,1.5,0.2,25.2,0.6071,0.8333,0.5,0.625
Christian Jones,George Washington,G,25,626,96,207,27,41,30,83,66,74,29,5,51,249,45,10.0,2.6,3.0,1.2,0.2,2.0,1.2,25.0,0.4638,0.6585,0.3614,0.5362
Myles Corey,Rhode Island,G,25,640,92,174,48,66,16,60,73,44,33,11,34,248,41,9.9,2.9,1.8,1.3,0.4,1.4,0.6,25.6,0.5287,0.7273,0.2667,0.5747
Rob Dockery,La Salle,G,25,644,86,174,67,92,9,38,143,66,37,3,66,248,67,9.9,5.7,2.6,1.5,0.1,2.6,0.4,25.8,0.4943,0.7283,0.2368,0.5201
Will Johnston,Richmond,G,26,702,81,212,41,47,49,126,78,60,15,1,20,252,45,9.7,3.0,2.3,0.6,0.0,0.8,1.9,27.0,0.3821,0.8723,0.3889,0.4976
Ishan Sharma,Saint Louis,F,25,536,74,162,32,38,62,142,70,38,16,1,10,242,34,9.7,2.8,1.5,0.6,0.0,0.4,2.5,21.4,0.4568,0.8421,0.4366,0.6481
Kellen Thames,Saint Louis,G,23,394,91,136,38,57,1,5,116,48,31,4,27,221,35,9.6,5.0,2.1,1.3,0.2,1.2,0.0,17.1,0.6691,0.6667,0.2,0.6728
Kayde Dotson,Loyola Chicago,G,21,523,64,171,35,47,39,115,55,36,12,1,30,202,45,9.6,2.6,1.7,0.6,0.0,1.4,1.9,24.9,0.3743,0.7447,0.3391,0.4883
Tre Dinkins,George Washington,G,26,572,77,192,32,38,62,160,49,46,9,3,38,248,29,9.5,1.9,1.8,0.3,0.1,1.5,2.4,22.0,0.401,0.8421,0.3875,0.5625
Jaden Daughtry,Richmond,F,26,423,92,175,37,55,20,44,82,19,23,4,40,241,40,9.3,3.2,0.7,0.9,0.2,1.5,0.8,16.3,0.5257,0.6727,0.4545,0.5829
Deywilk Tavarez,Loyola Chicago,G,26,554,76,220,32,36,52,165,58,38,11,2,36,236,45,9.1,2.2,1.5,0.4,0.1,1.4,2.0,21.3,0.3455,0.8889,0.3152,0.4636
Josiah Harris,La Salle,F,23,471,78,171,51,69,0,0,127,11,11,6,33,207,42,9.0,5.5,0.5,0.5,0.3,1.4,0.0,20.5,0.4561,0.7391,,0.4561
Keonte Jones,Dayton,F,9,282,31,57,12,19,5,11,45,20,20,9,14,79,26,8.8,5.0,2.2,2.2,1.0,1.6,0.6,31.3,0.5439,0.6316,0.4545,0.5877
Jordan Derkack,Dayton,G,19,476,35,92,87,121,7,30,82,52,24,2,39,164,35,8.6,4.3,2.7,1.3,0.1,2.1,0.4,25.1,0.3804,0.719,0.2333,0.4185
Brandon Jennings,VCU,G,26,620,66,156,76,88,15,41,79,54,39,18,36,223,74,8.6,3.0,2.1,1.5,0.7,1.4,0.6,23.8,0.4231,0.8636,0.3659,0.4712
Sam Brown,Davidson,G,21,486,65,171,22,34,28,89,40,52,11,4,28,180,34,8.6,1.9,2.5,0.5,0.2,1.3,1.3,23.1,0.3801,0.6471,0.3146,0.462
Masai Troutman,George Mason,G,24,585,59,144,61,76,25,71,81,33,13,5,30,204,30,8.5,3.4,1.4,0.5,0.2,1.2,1.0,24.4,0.4097,0.8026,0.3521,0.4965
